Nome,Profissao,Salario,Aniversario,CPF,Idade
Dr. Enzo Novais,Médico,10836.18,1982-11-06,452.807.316-17,2024
Juan Pinto,Enfermeiro,6080.4,1961-01-13,408.216.397-22,1999
Rafaela Freitas,Gestor de Projetos,12112.12,1978-05-22,416.573.028-90,1992
Ana Sophia Porto,Farmacêutico,4538.21,1981-09-06,170.896.253-03,2024
Rael Pires,Analista de Dados,9492.14,1990-05-08,132.649.780-40,2009
Lorenzo Silveira,Psicólogo,4753.13,1988-01-22,046.728.513-62,2015
Raul das Neves,Advogado,6125.32,1975-04-22,704.196.283-04,2014
Davi Alves,Técnico de TI,7271.72,2006-08-18,216.349.580-98,2009
Théo Carvalho,Técnico de TI,13831.41,1969-05-15,958.014.723-04,1982
Davi Lucca Leão,Desenvolvedor Web,5426.31,1981-03-29,845.201.639-51,2003
Ágatha Novaes,Psicólogo,9808.09,1987-05-17,067.935.482-47,1972
Henrique Nogueira,Marketing Digital,2158.83,1965-05-02,302.618.957-02,2016
Caio Correia,Consultor,6995.04,1997-03-18,349.261.057-99,2020
Maria Flor Gonçalves,Contador,11120.83,1998-09-04,718.364.259-37,2024
Dra. Carolina Cassiano,Técnico de TI,13979.89,1973-05-22,709.124.586-58,2021
Nicole Aparecida,Vendedor,2972.26,1997-02-10,248.531.697-09,1971
Yago Caldeira,Professor,5493.18,1962-04-08,450.178.239-05,2021
Srta. Ana Julia Garcia,Professor,12407.55,1976-10-10,706.218.359-86,2016
Benjamim Oliveira,Engenheiro de Software,3788.94,2006-08-19,215.078.964-76,1990
Dra. Ana Julia Nunes,Cientista de Dados,4336.61,1977-07-27,392.541.078-32,2016
Ana Liz Marques,Marketing Digital,5255.02,1971-11-03,038.469.752-65,1993
Lunna da Cunha,Advogado,4685.02,1975-07-27,054.968.372-00,1994
Thiago Camargo,Farmacêutico,3146.23,1987-10-12,654.701.938-10,1985
Dr. Brayan Farias,Cientista de Dados,12169.72,1979-02-18,943.215.807-14,1977
Lorenzo Casa Grande,Psicólogo,13918.43,1994-06-12,482.306.571-90,1997
Evelyn Ribeiro,Administrador,3185.94,2003-11-27,962.704.518-76,1984
Emanuella Borges,Enfermeiro,9276.81,1971-05-04,724.630.819-96,2011
Théo Gonçalves,Gestor de Projetos,3091.13,1982-04-13,084.635.721-62,1983
Dra. Camila Nunes,Consultor,4392.03,2000-10-02,801.735.246-80,1994
Anna Liz Costela,Administrador,11874.96,1959-06-15,536.924.178-37,1998
Heitor Pires,Cientista de Dados,6124.12,1986-09-06,407.853.169-57,1985
Pietra Silva,Psicólogo,7523.33,1962-10-19,972.603.418-31,2024
Cauê Moraes,Consultor,11837.4,2005-01-17,785.124.036-08,2021
Srta. Isabela Brito,Enfermeiro,11803.06,1974-04-26,194.537.028-97,1985
Arthur Gabriel Barros,Advogado,8057.8,1959-02-11,306.478.591-57,1971
Luiz Felipe Porto,Designer Gráfico,4126.71,1984-11-19,487.013.965-01,2016
Anthony Castro,Advogado,12663.32,1972-12-13,238.409.675-38,1984
Sra. Giovanna Vieira,Marketing Digital,4007.06,1971-06-08,725.391.604-25,2021
Sra. Nicole Moura,Arquiteto,10885.15,1964-11-01,830.645.127-90,2000
Thomas Souza,Psicólogo,10454.24,1992-07-21,457.329.816-91,1973
Luiz Otávio Pereira,Desenvolvedor Web,8816.07,1993-12-27,216.475.308-90,2003
Srta. Maria Luiza Souza,Marketing Digital,6860.4,2003-09-03,265.784.913-09,1986
Pietra Fonseca,Psicólogo,10627.26,1961-02-02,109.386.742-69,1970
Isaque da Rocha,Enfermeiro,6641.03,2002-05-21,729.135.068-95,1987
Yasmin Moraes,Gerente de Recursos Humanos,9125.7,1970-06-19,073.928.561-03,2014
Sra. Maria Sophia Abreu,Engenheiro de Software,12899.62,1976-04-30,589.170.362-95,2006
Mathias Araújo,Vendedor,5768.68,1974-06-05,850.179.436-84,1972
Maysa Castro,Farmacêutico,11879.56,1986-12-11,157.038.469-00,2018
Bárbara Pacheco,Enfermeiro,3161.61,1959-09-26,061.349.785-66,2010
Ana Azevedo,Vendedor,3414.25,1977-08-20,428.516.097-85,2009
